		bait:prey	cnv	exp	np_p_w	t-statistic
3358231	potential	DEFB134:SRPX2	DEFB134	SRPX2	0.460730938714701	-0.7469347916174449
1466774	potential	TEX15:GPX2	TEX15	GPX2	0.8053917897208586	-0.2498408198682009
2437831	potential	CLDN7:NOV	CLDN7	NOV	0.4983083919405763	0.6871584855965214
2771702	potential	PSME3:PREX1	PSME3	PREX1	0.9972770660846658	0.0034386464729647373
339081	potential	SPATA6L:C12orf75	SPATA6L	C12orf75	0.9281209666258654	-0.0906161237391164
1106436	potential	PPP2CB:ERMP1	PPP2CB	ERMP1	0.03500669390996758	2.160760664939456
1710105	potential	PPP1R3B:INHBE	PPP1R3B	INHBE	0.577641822787898	-0.5723633777105706
2481909	potential	MFN2:NUPR1	MFN2	NUPR1	0.1104638433643226	-1.6232775811808258
823327	potential	LINC00439:CXCL6	LINC00439	CXCL6	0.5894205235636346	-0.5545023213809651
1024424	potential	POU4F1-AS1:EFHD1	POU4F1-AS1	EFHD1	0.6034385576807952	-0.5235087759625549
3249157	potential	GNAT1:SLC9A3R1	GNAT1	SLC9A3R1	0.3172236983326993	1.0100834784217096
1649328	potential	ALG11:IGF2BP3	ALG11	IGF2BP3	0.7507141317660401	0.3205342394595075
1738762	potential	FDFT1:ISYNA1	FDFT1	ISYNA1	0.9302994674628582	0.08790117996588342
758414	potential	TRNP1:CRYM	TRNP1	CRYM	0.7341250711053455	-0.3441914046132515
3760891	potential	VSIG2:VLDLR	VSIG2	VLDLR	0.2946215931457896	-1.0581297287667268
1725713	potential	MIR4744:IRX3	MIR4744	IRX3	0.4911486587026184	-0.6932100746203681
3572462	potential	EMC6:TMPRSS3	EMC6	TMPRSS3	0.1465331921987349	1.485850137446886
3692855	potential	C18orf25:UBE2L6	C18orf25	UBE2L6	0.4435057621245583	0.7717522793029676
2258396	potential	KIAA0664:MIR205HG	KIAA0664	MIR205HG	0.06358453759844257	-1.9196331678783196
3689362	potential	MIR5583-1:TYRP1	MIR5583-1	TYRP1	0.2247319340888747	1.2491676395026516
3567346	potential	ZW10:TMEM45B	ZW10	TMEM45B	0.2634613046472987	1.1365191138766104
3760291	potential	PNLDC1:VLDLR	PNLDC1	VLDLR	0.12584633414904894	-1.554310460365246
1064586	potential	GSTM2:EMP3	GSTM2	EMP3	0.2888908537803343	1.0818418536943135
1874986	potential	C11orf88:KRT7	C11orf88	KRT7	0.7628469691632479	0.3033635042723666
1205629	potential	EPHX2:FBP1	EPHX2	FBP1	0.96636904318179	0.042448970379693016
2489131	potential	PIGV:OAS1	PIGV	OAS1	0.8759190626227098	-0.15748341652381168
3096520	potential	GINS2:SEPP1	GINS2	SEPP1	0.13507408877076146	1.523718243188509
1942996	potential	TUSC3:LEPRE1	TUSC3	LEPRE1	0.00039774212908666153	-3.7767063101064755
1037510	potential	LOC100505549:EGR3	LOC100505549	EGR3	0.4591201350074393	-0.7479068543546877
3280969	potential	FDX1:SOCS2	FDX1	SOCS2	0.2671460910900891	1.123282081972514
1183435	potential	ME2:FAM69A	ME2	FAM69A	0.662913024270146	0.4381785451955531
851966	potential	ZNF830:CYP2B7P1	ZNF830	CYP2B7P1	0.8618929360379006	0.17808569660033866
1583541	potential	CDRT4:HPGD	CDRT4	HPGD	0.9706852386525258	-0.037236058373588544
646871	potential	WDR27:CLU	WDR27	CLU	0.4203348270893127	0.8118156783791821
1045371	potential	TMEM132D:ELF3	TMEM132D	ELF3	0.07997792800339043	1.7912639273755318
578871	potential	CAMKK1:CENPV	CAMKK1	CENPV	0.2504436998303803	-1.1642862696304712
44811	potential	PDE4D:ACTA2	PDE4D	ACTA2	0.3107970596456888	-1.0284423928403597
1578350	potential	SYNJ2:HOXB7	SYNJ2	HOXB7	0.6391071478717014	-0.4725434277918623
2277326	potential	PPAPDC2:MMP1	PPAPDC2	MMP1	0.2094351041583903	-1.3205295348205233
3317332	potential	EPB49:SPHK1	EPB49	SPHK1	0.11603765558374733	-1.6005542899029774
633860	potential	ERRFI1:CLIC3	ERRFI1	CLIC3	0.9663490727160821	0.042459456216797434
1911989	potential	GPS2:LARP6	GPS2	LARP6	0.0015309353751512276	-3.3528493972127484
3400850	potential	TNFRSF10C:SULF1	TNFRSF10C	SULF1	0.08456243847510524	-1.847036068377192
2084545	potential	BTF3P11:LOXL1	BTF3P11	LOXL1	0.8303923351985013	0.21571804622116944
3518600	potential	NDEL1:TIMP3	NDEL1	TIMP3	0.5725485377775856	-0.5703543298393515
2951901	potential	SMARCC1:RGCC	SMARCC1	RGCC	0.4446376758163072	0.779056156669467
3401102	potential	AGTRAP:SULF2	AGTRAP	SULF2	0.3711021417050076	0.9043330471441229
1368599	potential	SENP3-EIF4A1:GATA6	SENP3-EIF4A1	GATA6	0.02793410169415606	-2.262827002664392
2261076	potential	MMP23B:MIR31HG	MMP23B	MIR31HG	0.2474707985587983	-1.1866705736587702
630661	potential	SPAG7:CLEC3B	SPAG7	CLEC3B	0.7655478265467917	-0.31490991916163863
1460866	potential	FLII:GPR87	FLII	GPR87	0.08106365270148218	-1.8620635852269596
3759757	potential	LOC286083:VLDLR	LOC286083	VLDLR	0.7189344705956799	0.36173723208822905
2503470	potential	ZC3H12C:ODZ4	ZC3H12C	ODZ4	0.286017901182845	-1.1549280358825802
420635	potential	OR8G2:CA2	OR8G2	CA2	0.2815922327960796	1.1005142462971789
1404490	potential	MIR4301:GJB2	MIR4301	GJB2	0.774599581759902	0.2907053777283542
3271830	potential	FAM59A:SNHG5	FAM59A	SNHG5	0.0719006049565042	-1.833836500771605
3668900	potential	MSL1:TSPAN8	MSL1	TSPAN8	0.3688357438329941	0.9247460834237656
1016197	potential	C17orf61-PLSCR3:EFEMP1	C17orf61-PLSCR3	EFEMP1	0.038721394374003855	-2.125458566219788
2558599	potential	CROCCP2:PCDH20	CROCCP2	PCDH20	0.9246096569743948	-0.09623276530852537
3408880	potential	LMO7:SUSD2	LMO7	SUSD2	0.7786462320548694	-0.2835423126351325
925021	potential	BAP1:DNAJA4	BAP1	DNAJA4	0.4253049617995252	0.804398154177859
1498248	potential	POU4F1-AS1:GUCY1A3	POU4F1-AS1	GUCY1A3	0.11503591383550382	1.6352988127426522
1364575	potential	AKAP10:GATA3	AKAP10	GATA3	0.2336053735712409	1.20699223462241
2826042	potential	MSR1:PSG11	MSR1	PSG11	0.6156722775187753	-0.522208990529029
976765	potential	SCARA5:DTX4	SCARA5	DTX4	0.8756395020743568	-0.1573195364405194
3046525	potential	IFNB1:SCG2	IFNB1	SCG2	0.06138995324937525	-1.9346435590550042
1904631	potential	C18orf63:LAMC1	C18orf63	LAMC1	0.6720608646766859	-0.4255581779315856
1392524	potential	FLI1:GFRA1	FLI1	GFRA1	0.9785786238785534	-0.0272487900100856
3549062	potential	XPO7:TMEM158	XPO7	TMEM158	0.09897179583078332	-1.7303389260686288
3306984	potential	PPP2CB:SOX9	PPP2CB	SOX9	0.03620359591881162	-2.1481696231914262
9264	potential	BAGE4:ABCA12	BAGE4	ABCA12	0.5888813519419778	0.5459576195932897
347679	potential	NXPE1:C16orf45	NXPE1	C16orf45	0.4757155517725675	-0.7199931164648407
3193368	potential	SMARCA2:SLC15A1	SMARCA2	SLC15A1	0.9157336677061424	-0.108515041816875
1524446	potential	DEFT1P:HEG1	DEFT1P	HEG1	0.056828175648062175	-1.966065383393358
3029512	potential	TMEM136:S100P	TMEM136	S100P	0.7884755985290249	-0.2701417727968097
3363762	potential	OPCML:ST3GAL5	OPCML	ST3GAL5	0.3121639257559395	1.0214459195765155
792288	potential	SGSM2:CTSL2	SGSM2	CTSL2	0.019465343466145958	-2.4084096166725857
3416217	potential	PANK4:SYBU	PANK4	SYBU	0.4428150083302801	0.7734696016345572
284062	potential	PMP22:BEX4	PMP22	BEX4	0.19964381083264	1.3021405633198455
3086350	potential	SPDYE4:SEL1L3	SPDYE4	SEL1L3	0.09311026654015164	-1.7112558426805693
3170832	potential	TUBG1:SH3YL1	TUBG1	SH3YL1	0.36170370223225456	0.9195103829141444
2760199	potential	PFN1:PPP1R3D	PFN1	PPP1R3D	0.006637303703274445	2.8195619674292263
716068	potential	HDAC10:CP	HDAC10	CP	0.7537659834195709	-0.3191173072752737
2747064	potential	TNFRSF10C:PPARG	TNFRSF10C	PPARG	0.10945673698165537	-1.6424306628766994
428308	potential	AGPAT4:CADM1	AGPAT4	CADM1	0.8476256053250614	0.1932118517806392
2500619	potential	PSMD13:ODZ2	PSMD13	ODZ2	0.702592526743159	-0.3860611051572221
967553	potential	RAMP2-AS1:DSE	RAMP2-AS1	DSE	0.2596143814339217	-1.141087675260226
1765594	potential	B4GALNT4:KAL1	B4GALNT4	KAL1	0.6911631315492948	0.3999638872523268
836210	potential	C11orf45:CYBRD1	C11orf45	CYBRD1	0.15393556295436805	-1.453321435342561
3127110	potential	RBM6:SERPINI1	RBM6	SERPINI1	0.6802642384962072	-0.4149188749539645
3524199	potential	ATP8B1:TLR2	ATP8B1	TLR2	0.4499174798350103	-0.7745210922268512
1959801	potential	GLDC:LIMCH1	GLDC	LIMCH1	0.03884044428418628	-2.1184737912357305
1110	cis	DHODH:DHODH	DHODH	DHODH	0.645015233544	-0.46344783586099997
3952	cis	SP6:SP6	SP6	SP6	0.823897702664	-0.224037456539
1012	cis	CYB561D1:CYB561D1	CYB561D1	CYB561D1	0.0969770024557	-1.68798255522
45	cis	ACSL1:ACSL1	ACSL1	ACSL1	0.253598360119	-1.1533055139
3014	cis	PCBP4:PCBP4	PCBP4	PCBP4	0.00823915693225	-2.7493718046099995
3700	cis	SERPINB11:SERPINB11	SERPINB11	SERPINB11	0.242951901729	-1.2948879452
3238	cis	PPARA:PPARA	PPARA	PPARA	0.021708355739	-2.3727846437299998
2701	cis	MYB:MYB	MYB	MYB	0.290227688277	1.07021896237
3572	cis	RPL13P5:RPL13P5	RPL13P5	RPL13P5	0.476630246202	-0.718491868051
822	cis	CITED2:CITED2	CITED2	CITED2	0.508767080749	-0.66509829751
3972	cis	SPOCD1:SPOCD1	SPOCD1	SPOCD1	0.366844101127	-0.928700323719
850	cis	CLN5:CLN5	CLN5	CLN5	0.00640312392157	-2.8308074674
2863	cis	NPRL2:NPRL2	NPRL2	NPRL2	0.0508970395379	-1.9951849056400002
1040	cis	CYTH4:CYTH4	CYTH4	CYTH4	0.866567526124	0.171991606822
834	cis	CLDN19:CLDN19	CLDN19	CLDN19	0.479433541033	-0.718421769637
2826	cis	NKIRAS2:NKIRAS2	NKIRAS2	NKIRAS2	1.13078492717e-07	-6.06373549499
3839	cis	SLC35F1:SLC35F1	SLC35F1	SLC35F1	0.738130317628	0.347916702115
2584	cis	MLLT6:MLLT6	MLLT6	MLLT6	0.0897705571237	-1.72596861344
4245	cis	TMEM27:TMEM27	TMEM27	TMEM27	0.535498800426	-0.625638115255
408	cis	BTBD2:BTBD2	BTBD2	BTBD2	0.0322807361417	-2.19559642397
4609	cis	WRN:WRN	WRN	WRN	2.82711389247e-07	-5.8203293813800006
8	cis	AATF:AATF	AATF	AATF	0.00827513404233	-2.73607872524
4676	cis	ZFP161:ZFP161	ZFP161	ZFP161	0.157323219238	-1.4333303823199999
3377	cis	PYROXD1:PYROXD1	PYROXD1	PYROXD1	0.0053840846762	-2.89377861107
1301	cis	ENTPD6:ENTPD6	ENTPD6	ENTPD6	0.000376362468642	-3.7851419782
2893	cis	NTN1:NTN1	NTN1	NTN1	0.0560280717387	2.11503132348
3326	cis	PSMB6:PSMB6	PSMB6	PSMB6	3.4528883739e-06	-5.14329645495
2433	cis	MAGOH:MAGOH	MAGOH	MAGOH	0.0356605399751	-2.1518268313299997
3134	cis	PINK1:PINK1	PINK1	PINK1	0.00124071505006	-3.3988764085
2605	cis	MOB3A:MOB3A	MOB3A	MOB3A	0.00258237850093	-3.1523522926700003
821	cis	CIT:CIT	CIT	CIT	0.257984444232	-1.1425927847
384	cis	BLMH:BLMH	BLMH	BLMH	0.086185565771	-1.7511071697299998
1350	cis	EXOC6:EXOC6	EXOC6	EXOC6	0.289171243414	-1.07008604894
2963	cis	OSTM1:OSTM1	OSTM1	OSTM1	0.00480958501719	-2.93434016888
1969	cis	IRF8:IRF8	IRF8	IRF8	0.510264840302	-0.6827607819310001
3322	cis	PSMA5:PSMA5	PSMA5	PSMA5	0.14049395878	-1.49475656185
2586	cis	MLYCD:MLYCD	MLYCD	MLYCD	0.00645372362159	-2.85103330619
3816	cis	SLC25A35:SLC25A35	SLC25A35	SLC25A35	0.972681535514	0.0345641768775
167	cis	ANKRD13C:ANKRD13C	ANKRD13C	ANKRD13C	0.00190071720678	-3.2566795839099996
1917	cis	IKBKB:IKBKB	IKBKB	IKBKB	0.00263883059894	-3.1449179663700004
2406	cis	LYAR:LYAR	LYAR	LYAR	0.0113744938574	-2.6157699801599996
3310	cis	PRSS23:PRSS23	PRSS23	PRSS23	0.839912247528	-0.203059991697
1988	cis	JAK1:JAK1	JAK1	JAK1	0.0181840882756	-2.4319098695599997
3774	cis	SIK2:SIK2	SIK2	SIK2	0.000912348595192	-3.4993926632699996
0	cis	A2LD1:A2LD1	A2LD1	A2LD1	0.0252288989418	-2.31006732638
4167	cis	THOP1:THOP1	THOP1	THOP1	0.140621945999	-1.4942653958599998
4094	cis	TAGLN:TAGLN	TAGLN	TAGLN	0.329692669341	-0.9877460712630001
4531	cis	VDAC3:VDAC3	VDAC3	VDAC3	0.000112126153443	-4.15004783447
758	cis	CENPBD1:CENPBD1	CENPBD1	CENPBD1	0.00515576809159	-2.90939416209
4366	cis	TRMT112:TRMT112	TRMT112	TRMT112	1.37704387229e-05	-4.7578533213
3136	cis	PIP4K2B:PIP4K2B	PIP4K2B	PIP4K2B	0.0087840049585	-2.71375506184
429	cis	C11orf45:C11orf45	C11orf45	C11orf45	0.212447105474	-1.27827342143
2203	cis	LGALS1:LGALS1	LGALS1	LGALS1	0.279355136217	-1.09295836816
3449	cis	RBM15:RBM15	RBM15	RBM15	0.067410682003	-1.8644487067099997
3998	cis	ST13:ST13	ST13	ST13	0.250004347185	-1.1621827842799999
1374	cis	FAF1:FAF1	FAF1	FAF1	0.391465222256	-0.863530124038
4456	cis	UBE2L6:UBE2L6	UBE2L6	UBE2L6	0.00552186917841	-2.88668133597
856	cis	CLSTN3:CLSTN3	CLSTN3	CLSTN3	0.673233510057	-0.426027228095
2084	cis	KIAA1731:KIAA1731	KIAA1731	KIAA1731	0.0150295399855	-2.50756652872
2632	cis	MRPL10:MRPL10	MRPL10	MRPL10	0.0286795799527	-2.2447798035699997
3389	cis	RAB11FIP1:RAB11FIP1	RAB11FIP1	RAB11FIP1	0.524249935654	-0.640754628898
3232	cis	POU4F1:POU4F1	POU4F1	POU4F1	0.140038375595	-1.5644114381099998
2050	cis	KDSR:KDSR	KDSR	KDSR	1.77645909467e-06	-5.32525971524
3301	cis	PRPF38A:PRPF38A	PRPF38A	PRPF38A	0.0147001590912	-2.5162748095
2001	cis	KANSL1:KANSL1	KANSL1	KANSL1	0.00221996623608	-3.2040658002
1742	cis	GSTT1:GSTT1	GSTT1	GSTT1	0.484948589387	-0.705449305317
4115	cis	TBCEL:TBCEL	TBCEL	TBCEL	0.00700776624342	-2.81242814018
4256	cis	TMEM61:TMEM61	TMEM61	TMEM61	0.401105322757	-0.865967145431
2706	cis	MYH10:MYH10	MYH10	MYH10	0.000648449751431	-3.6168877714199996
3550	cis	RNMT:RNMT	RNMT	RNMT	0.000470841509596	-3.7107313824199997
1545	cis	FSTL3:FSTL3	FSTL3	FSTL3	0.979620067758	0.0256815557863
3769	cis	SIAE:SIAE	SIAE	SIAE	0.341958845708	-0.9584437971549999
2374	cis	LRP8:LRP8	LRP8	LRP8	0.424205486339	-0.8049290735100001
866	cis	CMTM4:CMTM4	CMTM4	CMTM4	0.903120715442	-0.12226308091299999
3588	cis	RPUSD4:RPUSD4	RPUSD4	RPUSD4	0.000108963338591	-4.15858406824
4246	cis	TMEM41B:TMEM41B	TMEM41B	TMEM41B	0.000586192732066	-3.6414253558599996
4632	cis	YIPF1:YIPF1	YIPF1	YIPF1	0.797296208752	0.258073590359
2914	cis	OBFC1:OBFC1	OBFC1	OBFC1	0.144091388449	-1.48223128893
3921	cis	SNORA25:SNORA25	SNORA25	SNORA25	0.00615708581926	-2.84511369222
286	cis	ATHL1:ATHL1	ATHL1	ATHL1	0.272498828148	1.1185822168600001
644	cis	CCDC43:CCDC43	CCDC43	CCDC43	0.00177871094185	-3.27901755162
249	cis	ARL3:ARL3	ARL3	ARL3	0.0112005272839	-2.6216752947599997
476	cis	C17orf79:C17orf79	C17orf79	C17orf79	0.000139576689438	-4.08968647989
2787	cis	NEDD4L:NEDD4L	NEDD4L	NEDD4L	0.901592955406	-0.124221289826
1245	cis	EFNB2:EFNB2	EFNB2	EFNB2	0.122285450133	-1.5718810152399998
2087	cis	KIAA1967:KIAA1967	KIAA1967	KIAA1967	0.000281379120067	-3.90677433835
2554	cis	MIDN:MIDN	MIDN	MIDN	0.118031997198	-1.5993210007499998
1415	cis	FAM213B:FAM213B	FAM213B	FAM213B	0.547155090927	-0.605709193816
77	cis	ADPRHL1:ADPRHL1	ADPRHL1	ADPRHL1	0.806515455334	-0.248559332258
2018	cis	KCNC4:KCNC4	KCNC4	KCNC4	0.638216504955	-0.474321737817
1461	cis	FBXO2:FBXO2	FBXO2	FBXO2	0.188963137485	-1.3431863046099999
2900	cis	NUDT21:NUDT21	NUDT21	NUDT21	0.0185744443492	-2.4233864975
3944	cis	SORL1:SORL1	SORL1	SORL1	0.428414994959	-0.798968253927
2520	cis	MEN1:MEN1	MEN1	MEN1	4.24755162217e-08	-6.32202084697
3950	cis	SOX7:SOX7	SOX7	SOX7	0.253241644423	-1.1592159334899999
417	cis	C10orf118:C10orf118	C10orf118	C10orf118	0.0312352540016	-2.20864786363
4504	cis	USP45:USP45	USP45	USP45	0.0555477815108	-1.9560321782900003
1199	cis	DTNA:DTNA	DTNA	DTNA	0.35925648332	-0.9289916879719999
3976	cis	SPRYD7:SPRYD7	SPRYD7	SPRYD7	0.0183392325271	-2.4285028139900002
4670	cis	ZDHHC5:ZDHHC5	ZDHHC5	ZDHHC5	2.42143025245e-06	-5.240682319549999
1613	cis	GFRA1:GFRA1	GFRA1	GFRA1	0.614008258984	-0.5137958674800001
1812	cis	HINT3:HINT3	HINT3	HINT3	0.859828254769	-0.177393425141
4660	cis	ZCCHC2:ZCCHC2	ZCCHC2	ZCCHC2	0.0265620523173	-2.2769416385900003
165	cis	ANKRD11:ANKRD11	ANKRD11	ANKRD11	7.05831298259e-05	-4.2871990681400005
2283	cis	LOC100506730:LOC100506730	LOC100506730	LOC100506730	0.306261708	-1.03346621052
2333	cis	LOC643837:LOC643837	LOC643837	LOC643837	0.627699080288	-0.48983541206799996
363	cis	BCL9L:BCL9L	BCL9L	BCL9L	0.00794750513139	-2.7511283982099997
2350	cis	LONP2:LONP2	LONP2	LONP2	0.0362113495442	-2.14519361926
4618	cis	WWP2:WWP2	WWP2	WWP2	0.0279436533871	-2.25676706877
3269	cis	PRCP:PRCP	PRCP	PRCP	0.00195462129801	-3.2500388817
3029	cis	PCGF3:PCGF3	PCGF3	PCGF3	0.00955145332728	-2.68390568529
1584	cis	GALNS:GALNS	GALNS	GALNS	0.0142916438394	-2.54653370272
326	cis	AURKB:AURKB	AURKB	AURKB	0.000140804218115	-4.0818200653300005
4596	cis	WIPF2:WIPF2	WIPF2	WIPF2	0.00704891208685	-2.7955411632
1404	cis	FAM192A:FAM192A	FAM192A	FAM192A	0.00742262567629	-2.7764711692199997
3609	cis	RTTN:RTTN	RTTN	RTTN	0.00743186571653	-2.77601096088
2577	cis	MLIP:MLIP	MLIP	MLIP	0.863037280167	0.195537239233
1927	cis	IL22RA1:IL22RA1	IL22RA1	IL22RA1	0.10398775242	-1.8340619988
2567	cis	MIR31HG:MIR31HG	MIR31HG	MIR31HG	0.48196950514	-0.714727549692
3081	cis	PEX5:PEX5	PEX5	PEX5	0.000400799341151	-3.7612585040400006
1960	cis	IPO7:IPO7	IPO7	IPO7	7.14125665604e-06	-4.94206120643
1050	cis	DBF4B:DBF4B	DBF4B	DBF4B	0.974046188031	-0.0328369151471
2876	cis	NRIP3:NRIP3	NRIP3	NRIP3	0.983266276029	-0.021109077410900002
3415	cis	RALBP1:RALBP1	RALBP1	RALBP1	1.91174680223e-07	-5.93874803564
3452	cis	RBM26:RBM26	RBM26	RBM26	0.00707522387651	-2.79416839121
3476	cis	REPS1:REPS1	REPS1	REPS1	0.0640167794567	-1.8887525827200002
533	cis	C4orf27:C4orf27	C4orf27	C4orf27	1.42614926233e-05	-4.75583250672
2041	cis	KDELC2:KDELC2	KDELC2	KDELC2	0.0927373591784	-1.71144748373
452	cis	C12orf60:C12orf60	C12orf60	C12orf60	0.567621532434	-0.575294884118
4043	cis	STXBP5:STXBP5	STXBP5	STXBP5	0.00650659868193	-2.8249419463099996
4474	cis	UFM1:UFM1	UFM1	UFM1	0.0205383325826	-2.38280081995
3678	cis	SEC63:SEC63	SEC63	SEC63	0.00015884522713	-4.04549286779
1232	cis	ECHS1:ECHS1	ECHS1	ECHS1	0.0299037594825	-2.22713258948
4562	cis	WAPAL:WAPAL	WAPAL	WAPAL	0.00304535746022	-3.0954051598900003
2260	cis	LOC100131691:LOC100131691	LOC100131691	LOC100131691	0.39970407037	-0.8522603093880001
2107	cis	KLHDC7B:KLHDC7B	KLHDC7B	KLHDC7B	0.13217055587	-1.5544333090600002
2788	cis	NEFL:NEFL	NEFL	NEFL	0.337245044345	-1.00336738114
4732	cis	ZNF407:ZNF407	ZNF407	ZNF407	8.19442413548e-05	-4.24899028785
3670	cis	SDHAF2:SDHAF2	SDHAF2	SDHAF2	0.00212378217223	-3.21912454639
3770	cis	SIAH1:SIAH1	SIAH1	SIAH1	0.0538144366796	-1.9690603830900002
1956	cis	IP6K2:IP6K2	IP6K2	IP6K2	0.0144294380048	-2.52356540368
3201	cis	PNMA2:PNMA2	PNMA2	PNMA2	0.0696551744642	-1.9769255719999999
933	cis	CPNE7:CPNE7	CPNE7	CPNE7	0.285512834911	-1.09345910009
3890	cis	SMAD9:SMAD9	SMAD9	SMAD9	0.174211446004	-1.4220556899
2627	cis	MRFAP1L1:MRFAP1L1	MRFAP1L1	MRFAP1L1	0.00390361979355	-3.0085158356200004
4433	cis	TWF2:TWF2	TWF2	TWF2	0.322801764807	-0.998589889516
1318	cis	EPS15:EPS15	EPS15	EPS15	0.0324703411243	-2.19211189461
669	cis	CCNL2:CCNL2	CCNL2	CCNL2	0.0330373528162	-2.18470505221
66	cis	ADAP2:ADAP2	ADAP2	ADAP2	0.391470640974	-0.892033854872
2841	cis	NOB1:NOB1	NOB1	NOB1	0.0235255798672	-2.3272781045200004
727	cis	CDH3:CDH3	CDH3	CDH3	0.334707005588	-0.9764565736799998
991	cis	CTSD:CTSD	CTSD	CTSD	0.457532159041	-0.748096688515
4733	cis	ZNF416:ZNF416	ZNF416	ZNF416	0.0410630128364	-2.09115798606
3905	cis	SMOC2:SMOC2	SMOC2	SMOC2	0.272232981554	-1.12615991583
1373	cis	FADS3:FADS3	FADS3	FADS3	0.107359890401	-1.6390410761899998
1275	cis	ELMO3:ELMO3	ELMO3	ELMO3	0.0144204590475	-2.5709722044
2643	cis	MRPL54:MRPL54	MRPL54	MRPL54	0.17215241021	-1.38300721294
2535	cis	MFSD12:MFSD12	MFSD12	MFSD12	0.416570593373	-0.819618727078
860	cis	CLYBL:CLYBL	CLYBL	CLYBL	0.0336273032534	-2.26610762392
2234	cis	LIPA:LIPA	LIPA	LIPA	0.864647507183	0.171232343385
1322	cis	EPSTI1:EPSTI1	EPSTI1	EPSTI1	0.644696673275	-0.464842876986
1933	cis	ILK:ILK	ILK	ILK	0.00280703820448	-3.1236190601
1316	cis	EPM2A:EPM2A	EPM2A	EPM2A	0.0320986981066	-2.1990356388
4496	cis	USP22:USP22	USP22	USP22	3.64182075116e-07	-5.752716112230001
3212	cis	POLA1:POLA1	POLA1	POLA1	0.189836974079	-1.3274705303
4244	cis	TMEM25:TMEM25	TMEM25	TMEM25	0.402443720901	0.846035700818
2402	cis	LTV1:LTV1	LTV1	LTV1	0.000290554489114	-3.861180928
457	cis	C16orf55:C16orf55	C16orf55	C16orf55	0.012577104737	-2.59084705273
2060	cis	KIAA0513:KIAA0513	KIAA0513	KIAA0513	0.677290269445	0.418772152443
4188	cis	TLCD2:TLCD2	TLCD2	TLCD2	0.0169601631387	-2.46535792146
3179	cis	PLEKHM2:PLEKHM2	PLEKHM2	PLEKHM2	7.18419100142e-07	-5.736221576880001
4616	cis	WWC3:WWC3	WWC3	WWC3	0.148923205703	-1.4634932985799998
1821	cis	HMGCL:HMGCL	HMGCL	HMGCL	0.850304266914	-0.189620920174
3901	cis	SMCR8:SMCR8	SMCR8	SMCR8	0.0170828313305	-2.45687428382
4337	cis	TRAPPC2:TRAPPC2	TRAPPC2	TRAPPC2	0.000244672954943	-3.91405654393
2955	cis	OSBPL10:OSBPL10	OSBPL10	OSBPL10	0.398182326245	-0.851383744915
2680	cis	MTMR6:MTMR6	MTMR6	MTMR6	0.0162495560871	-2.47674614013
3095	cis	PHF13:PHF13	PHF13	PHF13	0.00479916734648	-2.9351164166400006
4141	cis	TEAD4:TEAD4	TEAD4	TEAD4	0.306977101642	-1.03099158735
3846	cis	SLC38A7:SLC38A7	SLC38A7	SLC38A7	0.336793895712	-0.968986520008
947	cis	CRLS1:CRLS1	CRLS1	CRLS1	0.00143832008857	-3.34998263229
4011	cis	STAT5B:STAT5B	STAT5B	STAT5B	0.00684008780822	-2.80660684049
2336	cis	LOC646762:LOC646762	LOC646762	LOC646762	0.395547878764	0.8571262771179999
4277	cis	TNFRSF10B:TNFRSF10B	TNFRSF10B	TNFRSF10B	0.000554061758604	-3.67575903509
679	cis	CD151:CD151	CD151	CD151	0.00898294066333	-2.70534928325
2075	cis	KIAA1430:KIAA1430	KIAA1430	KIAA1430	1.61228910504e-05	-4.71323484018
287	cis	ATL3:ATL3	ATL3	ATL3	0.00174447444586	-3.2855457202900005
1061	cis	DCP1A:DCP1A	DCP1A	DCP1A	0.0111718620291	-2.62265635261
629	cis	CCDC113:CCDC113	CCDC113	CCDC113	0.43473723108	-0.786974467715
3523	cis	RNASEH2B:RNASEH2B	RNASEH2B	RNASEH2B	0.453803625703	-0.754539195678
1911	cis	IFT88:IFT88	IFT88	IFT88	0.0356768737438	-2.1525619160900002
385	cis	BLNK:BLNK	BLNK	BLNK	0.438159652922	-0.783135918619
434	cis	C11orf63:C11orf63	C11orf63	C11orf63	0.530527293829	0.636045281202
2471	cis	MARCH5:MARCH5	MARCH5	MARCH5	0.000501746443666	-3.69069227669
1413260	null	PPP1R13B:SNHG5	PPP1R13B	SNHG5	0.16464099790594378	-1.4077316462904867
413067	null	ZNF365:KLK1	ZNF365	KLK1	0.7484664496945017	0.32327567358022113
307340	null	MIR4643:GFI1B	MIR4643	GFI1B	0.8128637458300291	-0.2378326558925139
155548	null	SIGLEC15:GABRB1	SIGLEC15	GABRB1	0.9048684998816968	-0.1202204447286034
721808	null	FRG2B:IGHM	FRG2B	IGHM	0.5656640196278824	-0.5778160995229006
1531308	null	OR4M2:CARD11	OR4M2	CARD11	0.09575243033992573	-1.6938486809405024
1124760	null	ADAM9:SYCP1	ADAM9	SYCP1	0.3305766284617899	0.9813308922661624
303651	null	INPP5A:CHID1	INPP5A	CHID1	0.8153870039587491	-0.234564914864182
1343112	null	SLC5A8:TMEM150A	SLC5A8	TMEM150A	0.20538768138234653	1.280981286706575
987654	null	PHTF1:LOC100129662	PHTF1	LOC100129662	0.4105246420692218	-0.8319102701597546
919206	null	VLDLR:UPF2	VLDLR	UPF2	0.4514652474922577	0.7581824696307176
